motion_name,SG ASL Despondent 2026-6-10
pose_name,SG ASL Despondent 2026-6-10 P2
export_date,2026-6-10
current_frame,52
frame_budget,15

bone_name,w,x,y,z
bicepfk_L,0.8212,0.507,0.2618,0.0052
forearmfk_L,0.3283,-0.0594,-0.0217,0.9425
handfk_L,0.9356,0.1605,-0.3085,-0.0616
bicepfk_R,0.846,0.5018,-0.1748,-0.0447
forearmfk_R,0.4171,-0.048,0.0277,-0.9072
handfk_R,0.8323,0.0765,0.549,0.0015
thighfk_L,0.9995,-0.0123,-0.0293,-0.0003
shinfk_L,0.9996,0.0264,0.0092,0.0035
footfk_L,0.0281,-0.0259,0.9991,0.0182
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0113,0.0192,-0.0007
shinfk_R,0.9996,0.027,-0.0087,-0.0041
footfk_R,0.0282,-0.0264,-0.9991,-0.0189
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.998,0.0384,-0.0237,-0.0438
thumbfk_02_L,0.9899,0.1043,-0.0941,-0.0182
thumbfk_03_L,0.9971,-0.0512,0.0465,-0.0316
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0054
pinkyfk_01_L,0.9696,0.1672,-0.1188,-0.1333
pinkyfk_02_L,0.9962,0.0867,0.0,-0.0009
pinkyfk_03_L,1.0,0.0054,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9994,0.0,0.0251,-0.0251
indexfk_01_L,0.9425,0.2636,0.089,0.185
indexfk_02_L,0.9934,0.1147,0.0,-0.0
indexfk_03_L,0.9994,0.0353,-0.0,-0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0078,-0.0078
middlefk_01_L,0.7099,0.7017,0.0332,0.0517
middlefk_02_L,0.9941,0.1053,0.0206,-0.0145
middlefk_03_L,0.9979,0.0649,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9999,-0.0,-0.0128,0.0085
ringfk_01_L,0.907,0.402,-0.1212,0.0333
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9981,0.0376,0.0267,0.0412
thumbfk_02_R,0.9904,0.1021,0.0918,0.0178
thumbfk_03_R,0.9973,-0.0496,-0.045,0.0306
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0054
pinkyfk_01_R,0.9698,0.1674,0.1174,0.1329
pinkyfk_02_R,0.9962,0.0866,0.0,0.0009
pinkyfk_03_R,1.0,0.0043,-0.0,-0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9993,0.0,-0.0257,0.0257
indexfk_01_R,0.9412,0.2692,-0.0887,-0.1838
indexfk_02_R,0.9937,0.1121,0.0,-0.0
indexfk_03_R,0.9994,0.0332,0.0,0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0078,0.0078
middlefk_01_R,0.7099,0.7015,-0.0346,-0.0528
middlefk_02_R,0.9936,0.11,-0.0207,0.0145
middlefk_03_R,0.9975,0.0713,-0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9999,-0.0,0.0128,-0.0086
ringfk_01_R,0.9057,0.4047,0.1219,-0.0326
ringfk_02_R,1.0,-0.0031,-0.0,0.0
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9982,0.0563,0.0014,0.0189
collar_L,0.9982,0.0596,0.0067,-0.0055
neckfk,1.0,-0.0033,-0.0005,-0.0009
headfk,1.0,-0.0075,-0.0013,-0.0012
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0003,-0.0001,0.0004
chest_3,0.9998,-0.0188,-0.0033,-0.0069
chest_2,1.0,0.0004,-0.0,0.0005
chest_1,1.0,0.0008,-0.0002,0.001
hip,1.0,-0.0006,-0.005,0.0005
