motion_name,SG ASL Desk 2026-6-7 metarig T
pose_name,SG ASL Desk 2026-6-7 metarig T P4
export_date,2026-6-7
current_frame,81
frame_budget,10

bone_name,w,x,y,z
spine,0.9911,-0.1327,0.0073,-0.0025
spine.001,0.9978,0.0665,-0.0059,-0.0012
spine.002,0.9968,0.0782,0.0149,0.0008
spine.003,0.9994,-0.0229,-0.0234,-0.0084
spine.004,0.9801,-0.1987,-0.0019,-0.0001
spine.005,0.9949,0.1003,0.0052,-0.0043
spine.006,0.995,0.0992,0.0085,-0.0098
face,1.0,-0.0,0.0,-0.0
nose,1.0,0.0,-0.0,0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,-0.0
nose.003,1.0,-0.0,-0.0,0.0
nose.004,1.0,-0.0,0.0,0.0
lip.T.L,1.0,0.0,0.0,0.0
lip.T.L.001,1.0,-0.0,0.0,0.0
lip.B.L,1.0,-0.0,-0.0,0.0
lip.B.L.001,1.0,0.0,0.0,0.0
jaw,1.0,-0.0,-0.0,0.0
chin,1.0,0.0,0.0,-0.0
chin.001,1.0,0.0,0.0,-0.0
ear.L,1.0,-0.0,0.0,0.0
ear.L.001,1.0,-0.0,-0.0,0.0
ear.L.002,1.0,0.0,-0.0,0.0
ear.L.003,1.0,-0.0,0.0,0.0
ear.L.004,1.0,-0.0,0.0,-0.0
ear.R,1.0,0.0,-0.0,-0.0
ear.R.001,1.0,0.0,-0.0,-0.0
ear.R.002,1.0,-0.0,-0.0,-0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,-0.0,-0.0,-0.0
lip.T.R,1.0,0.0,-0.0,-0.0
lip.T.R.001,1.0,-0.0,-0.0,-0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.L,1.0,0.0,-0.0,0.0
brow.B.L.001,1.0,-0.0,0.0,-0.0
brow.B.L.002,1.0,0.0,-0.0,-0.0
brow.B.L.003,1.0,-0.0,0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,-0.0,-0.0,-0.0
lid.T.L.002,1.0,-0.0,0.0,-0.0
lid.T.L.003,1.0,0.0,0.0,-0.0
lid.B.L,1.0,0.0,0.0,0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,0.0,0.0,0.0
lid.B.L.003,1.0,0.0,-0.0,0.0
brow.B.R,1.0,-0.0,0.0,-0.0
brow.B.R.001,1.0,0.0,0.0,-0.0
brow.B.R.002,1.0,-0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,0.0,-0.0
lid.T.R,1.0,-0.0,-0.0,0.0
lid.T.R.001,1.0,-0.0,-0.0,-0.0
lid.T.R.002,1.0,-0.0,0.0,0.0
lid.T.R.003,1.0,-0.0,-0.0,0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,-0.0,0.0,-0.0
lid.B.R.002,1.0,0.0,-0.0,0.0
lid.B.R.003,1.0,0.0,0.0,-0.0
forehead.L,1.0,0.0,-0.0,0.0
forehead.L.001,1.0,0.0,-0.0,0.0
forehead.L.002,1.0,-0.0,0.0,-0.0
temple.L,1.0,-0.0,-0.0,0.0
jaw.L,1.0,-0.0,-0.0,-0.0
jaw.L.001,1.0,-0.0,0.0,0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,0.0,0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,-0.0,-0.0,-0.0
brow.T.L.001,1.0,-0.0,0.0,0.0
brow.T.L.002,1.0,-0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,0.0,-0.0
forehead.R,1.0,0.0,-0.0,0.0
forehead.R.001,1.0,0.0,0.0,0.0
forehead.R.002,1.0,0.0,-0.0,-0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,0.0,-0.0,0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,-0.0,-0.0,0.0
cheek.B.R.001,1.0,-0.0,-0.0,0.0
brow.T.R,1.0,-0.0,-0.0,0.0
brow.T.R.001,1.0,-0.0,-0.0,-0.0
brow.T.R.002,1.0,0.0,0.0,0.0
brow.T.R.003,1.0,-0.0,0.0,0.0
eye.L,1.0,0.0,0.0,0.0
eye.R,1.0,0.0,0.0,0.0
cheek.T.L,1.0,-0.0,-0.0,0.0
