motion_name,SG ASL Demon 1H 2026-4-25 metarig T
pose_name,SG ASL Demon 1H 2026-4-25 metarig T P3
export_date,2026-4-25
current_frame,56
frame_budget,12

bone_name,w,x,y,z
spine,0.9919,-0.1268,0.0009,-0.0001
spine.001,0.998,0.0636,0.0018,-0.0022
spine.002,0.9969,0.0771,0.018,0.0004
spine.003,0.9995,-0.0242,-0.0202,-0.0088
spine.004,0.9799,-0.1994,0.0002,-0.0008
spine.005,0.995,0.0993,-0.0033,0.0056
spine.006,0.9954,0.095,-0.0032,0.0115
face,1.0,-0.0,-0.0,0.0
nose,1.0,0.0,0.0,-0.0
nose.001,1.0,0.0,-0.0,0.0
nose.002,1.0,-0.0,0.0,0.0
nose.003,1.0,-0.0,0.0,0.0
nose.004,1.0,-0.0,0.0,0.0
lip.T.L,1.0,0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,0.0,-0.0
lip.B.L,1.0,-0.0,-0.0,-0.0
lip.B.L.001,1.0,-0.0,0.0,0.0
jaw,1.0,0.0,0.0,0.0
chin,1.0,0.0,-0.0,0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,0.0,0.0,0.0
ear.L.001,1.0,-0.0,0.0,0.0
ear.L.002,1.0,-0.0,-0.0,-0.0
ear.L.003,1.0,0.0,0.0,-0.0
ear.L.004,1.0,0.0,0.0,0.0
ear.R,1.0,0.0,0.0,-0.0
ear.R.001,1.0,-0.0,-0.0,-0.0
ear.R.002,1.0,-0.0,-0.0,0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,-0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,0.0,-0.0
brow.B.L,1.0,-0.0,0.0,-0.0
brow.B.L.001,1.0,-0.0,-0.0,-0.0
brow.B.L.002,1.0,0.0,0.0,-0.0
brow.B.L.003,1.0,0.0,-0.0,-0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,0.0,-0.0
lid.T.L.002,1.0,0.0,-0.0,0.0
lid.T.L.003,1.0,0.0,0.0,-0.0
lid.B.L,1.0,0.0,0.0,-0.0
lid.B.L.001,1.0,-0.0,0.0,0.0
lid.B.L.002,1.0,-0.0,0.0,0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,0.0,0.0,0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,0.0
brow.B.R.003,1.0,-0.0,0.0,0.0
lid.T.R,1.0,-0.0,0.0,0.0
lid.T.R.001,1.0,0.0,0.0,-0.0
lid.T.R.002,1.0,-0.0,0.0,-0.0
lid.T.R.003,1.0,-0.0,0.0,-0.0
lid.B.R,1.0,-0.0,0.0,0.0
lid.B.R.001,1.0,-0.0,0.0,0.0
lid.B.R.002,1.0,-0.0,0.0,0.0
lid.B.R.003,1.0,-0.0,0.0,0.0
forehead.L,1.0,0.0,-0.0,0.0
forehead.L.001,1.0,-0.0,-0.0,0.0
forehead.L.002,1.0,0.0,0.0,0.0
temple.L,1.0,-0.0,-0.0,-0.0
jaw.L,1.0,-0.0,0.0,0.0
jaw.L.001,1.0,-0.0,0.0,-0.0
chin.L,1.0,-0.0,-0.0,0.0
cheek.B.L,1.0,-0.0,-0.0,0.0
cheek.B.L.001,1.0,0.0,-0.0,-0.0
brow.T.L,1.0,-0.0,0.0,0.0
