motion_name,SG ASL Delay 2026-4-11
pose_name,SG ASL Delay 2026-4-11 P1
export_date,2026-4-11
current_frame,34
frame_budget,34

bone_name,w,x,y,z
bicepfk_L,0.7475,0.5991,0.2161,0.1888
forearmfk_L,0.7067,-0.0441,-0.0458,0.7047
handfk_L,0.9541,-0.2521,0.1603,-0.0192
bicepfk_R,0.8048,0.5681,-0.1371,-0.1041
forearmfk_R,0.7294,-0.0408,0.0461,-0.6813
handfk_R,0.9931,0.0115,-0.0039,-0.117
thighfk_L,0.9997,-0.0114,-0.0238,-0.0007
shinfk_L,0.9996,0.0271,0.0091,0.0041
footfk_L,0.0291,-0.0259,0.9991,0.0192
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0115,0.0247,-0.0011
shinfk_R,0.9996,0.0271,-0.0091,-0.0042
footfk_R,0.0289,-0.0263,-0.9991,-0.0183
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.693,0.2664,0.6024,0.2931
thumbfk_02_L,0.9712,0.2364,-0.0263,0.0093
thumbfk_03_L,0.9826,0.1515,0.0355,0.1017
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0047
pinkyfk_01_L,0.975,-0.1394,0.0293,-0.1706
pinkyfk_02_L,0.9998,0.0115,0.0111,-0.0101
pinkyfk_03_L,0.9994,0.0095,0.0034,0.0341
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9982,-0.0,0.042,-0.042
indexfk_01_L,0.9131,0.4078,0.0001,-0.0002
indexfk_02_L,0.9037,0.4281,0.0041,-0.0117
indexfk_03_L,0.9228,0.3848,0.016,-0.0073
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0011,-0.0011
middlefk_01_L,0.9765,0.0929,0.1846,-0.0605
middlefk_02_L,0.9978,0.0643,-0.0113,0.0119
middlefk_03_L,0.9992,0.0379,0.008,0.005
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9935,-0.0202,0.0736,-0.0844
ringfk_02_L,0.9991,0.0392,0.0056,-0.0143
ringfk_03_L,1.0,0.0021,0.0,-0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6982,0.2576,-0.6115,-0.2688
thumbfk_02_R,0.9711,0.2371,0.0249,-0.0123
thumbfk_03_R,0.9855,0.1386,-0.0367,-0.0903
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0049
pinkyfk_01_R,0.9712,-0.1464,-0.0325,0.1853
pinkyfk_02_R,0.9998,0.009,-0.0111,0.0101
pinkyfk_03_R,0.9993,0.0137,-0.0033,-0.0341
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9985,-0.0,-0.0385,0.0385
indexfk_01_R,0.9267,0.3755,0.0054,0.0111
indexfk_02_R,0.8997,0.4363,-0.0041,0.0116
indexfk_03_R,0.9196,0.3924,-0.0161,0.0072
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.001,0.001
middlefk_01_R,0.9773,0.0884,-0.1843,0.0556
middlefk_02_R,0.9981,0.0588,0.0114,-0.0121
middlefk_03_R,0.9993,0.0356,-0.008,-0.0051
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9937,-0.0215,-0.0788,0.0771
ringfk_02_R,0.9994,0.0322,-0.0057,0.0143
ringfk_03_R,1.0,-0.004,0.0,-0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9974,0.0418,0.042,-0.0401
collar_L,0.9945,0.0812,-0.0317,0.0578
neckfk,0.9999,0.0138,-0.0071,0.0076
headfk,0.9995,0.0259,-0.0104,0.0161
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0002,0.0003,-0.0012
chest_3,0.9998,-0.019,-0.0028,-0.0089
chest_2,1.0,0.0004,0.0002,-0.0016
chest_1,1.0,0.0006,0.0004,-0.0037
hip,1.0,-0.0002,0.0005,0.0009
